parent_service_delivery_point,name,type,latitude,longitude
MOHSW,TABORA,REGION,0,0
MOHSW,MOROGORO,REGION,0,0
MOHSW,RUKWA,REGION,0,0
MOHSW,LINDI,REGION,0,0
MOHSW,RUVUMA,REGION,0,0
MOHSW,MBEYA,REGION,0,0
MOHSW,IRINGA,REGION,0,0
MOHSW,SHINYANGA,REGION,0,0
MOHSW,SINGIDA,REGION,0,0
MOHSW,MANYARA,REGION,0,0
MOHSW,KIGOMA,REGION,0,0
MOHSW,DODOMA,REGION,0,0
MOHSW,KAGERA,REGION,0,0
MOHSW,ARUSHA,REGION,0,0
MOHSW,PWANI,REGION,0,0
MOHSW,MWANZA,REGION,0,0
MOHSW,MARA,REGION,0,0
MOHSW,TANGA,REGION,0,0
MOHSW,MTWARA,REGION,0,0
MOHSW,KILIMANJARO,REGION,0,0
MOHSW,DAR ES SALAAM,REGION,0,0
MOHSW,ZANZIBAR CENTRAL/SOUTH,REGION,0,0
MOHSW,PEMBA NORTH,REGION,0,0
MOHSW,ZANZIBAR NORTH,REGION,0,0
MOHSW,PEMBA SOUTH,REGION,0,0
MOHSW,ZANZIBAR WEST,REGION,0,0
